chain	clen	end	method	resolution	start	structid	unp
A	1.0	85.0	solution nmr	-1.0	1.0	1RGW	O75112
A	1.0	417.0	x-ray diffraction	2.79	22.0	4L6Q	O75116
A	1.0	541.0	x-ray diffraction	2.1	296.0	3WOY	O75122
B	1.0	195.0	x-ray diffraction	1.63	12.0	5C50	O75143
A	1.0	1357.0	solution nmr	-1.0	8.0	2LU7	O75147
B	1.0	445.0	x-ray diffraction	1.94	1.0	3PU8	O75151
F	1.0	756.0	x-ray diffraction	1.86	6.0	2HV8	O75154
A	1.0	1011.0	x-ray diffraction	2.15	1.0	3U4S	O75164
A	1.0	509.0	x-ray diffraction	1.24	214.0	4WK7	O75173
C	1.0	751.0	x-ray diffraction	3.2	607.0	4C0D	O75175
A	1.0	532.0	x-ray diffraction	1.98	5.0	4BC5	O75191
A	1.0	311.0	x-ray diffraction	2.39	93.0	4RHP	O75208
A	1.0	183.0	x-ray diffraction	2.01	14.0	2Q53	O75223
A	1.0	453.0	x-ray diffraction	3.04	42.0	5CFB	O75311
A	1.0	255.0	x-ray diffraction	2.38	75.0	4JMJ	O75319
A	1.0	88.0	solution nmr	-1.0	1.0	1ZZA	O75324
A	1.0	633.0	x-ray diffraction	2.4	46.0	3NVQ	O75326
A	1.0	1182.0	x-ray diffraction	2.9	870.0	3TAD	O75334
A	1.0	191.0	x-ray diffraction	2.36	21.0	3WXA	O75340
A	1.0	143.0	x-ray diffraction	2.1	19.0	3B7X	O75344
A	1.0	106.0	x-ray diffraction	1.8	4.0	1H7C	O75347
A	1.0	444.0	solution nmr	-1.0	1.0	2JQK	O75351
C	1.0	523.0	x-ray diffraction	2.1	470.0	4IS1	O75362
A	1.0	169.0	solution nmr	-1.0	1.0	1V3A	O75365
A	1.0	819.0	solution nmr	-1.0	784.0	1UND	O75366
M	1.0	369.0	x-ray diffraction	1.43	10.0	3HSV	O75367
A	1.0	114.0	x-ray diffraction	1.9	1.0	1U6T	O75368
A	1.0	2633.0	solution nmr	-1.0	2.0	2DLG	O75369
C	1.0	2275.0	x-ray diffraction	2.1	433.0	3KMZ	O75376
A	1.0	80.0	solution nmr	-1.0	16.0	2W85	O75381
A	1.0	280.0	x-ray diffraction	1.56	3.0	4WNO	O75385
A	1.0	124.0	solution nmr	-1.0	44.0	2CPM	O75391
A	1.0	544.0	solution nmr	-1.0	501.0	4A24	O75398
A	1.0	779.0	solution nmr	-1.0	1.0	2L9V	O75400
A	1.0	2590.0	x-ray diffraction	2.9	67.0	5AGA	O75417
A	1.0	299.0	x-ray diffraction	2.1	6.0	2FAU	O75436
A	1.0	131.0	solution nmr	-1.0	64.0	2KDP	O75446
A	1.0	964.0	x-ray diffraction	2.5	29.0	4U6R	O75460
A	1.0	473.0	x-ray diffraction	2.8	180.0	3R8D	O75469
B	1.0	546.0	x-ray diffraction	3.2	28.0	4BSS	O75473
C	1.0	435.0	x-ray diffraction	2.02	1.0	2B4J	O75475
B	1.0	190.0	solution nmr	-1.0	86.0	2LP0	O75496
A	1.0	53.0	x-ray diffraction	1.8	6.0	3CI9	O75506
A	1.0	214.0	x-ray diffraction	2.7	50.0	3U3Q	O75509
A	1.0	390.0	x-ray diffraction	2.64	31.0	4U18	O75521
A	1.0	465.0	x-ray diffraction	1.76	77.0	3K27	O75530
A	1.0	89.0	x-ray diffraction	2.87	1.0	2BZF	O75531
P	1.0	415.0	x-ray diffraction	2.5	333.0	2F9D	O75533
A	1.0	784.0	solution nmr	-1.0	61.0	2YTY	O75534
A	1.0	196.0	solution nmr	-1.0	122.0	2DK1	O75554
E	1.0	79.0	x-ray diffraction	2.9	71.0	3OMH	O75563
A	1.0	103.0	solution nmr	-1.0	33.0	2DIX	O75569
C	1.0	1609.0	x-ray diffraction	2.3	20.0	4NM7	O75581
B	1.0	650.0	x-ray diffraction	2.0	24.0	3KN6	O75582
A	1.0	196.0	x-ray diffraction	1.7	30.0	1YCK	O75594
A	1.0	600.0	x-ray diffraction	1.7	263.0	3V6C	O75604
A	1.0	229.0	x-ray diffraction	1.5	6.0	1FJ2	O75608
A	1.0	223.0	x-ray diffraction	1.65	44.0	3DAL	O75626
A	1.0	248.0	x-ray diffraction	2.5	79.0	2NZJ	O75628
A	1.0	218.0	x-ray diffraction	1.95	49.0	1XHN	O75629
A	1.0	299.0	x-ray diffraction	1.8	86.0	2J60	O75636
B	1.0	2129.0	x-ray diffraction	2.7	402.0	4F91	O75643
A	1.0	149.0	x-ray diffraction	3.0	9.0	3RRU	O75674
A	1.0	295.0	x-ray diffraction	1.82	4.0	2P8E	O75688
C	1.0	381.0	x-ray diffraction	2.95	1.0	3MDB	O75689
B	1.0	350.0	x-ray diffraction	1.9	34.0	3BH7	O75695
A	1.0	218.0	x-ray diffraction	2.0	31.0	2I3Y	O75715
A	1.0	299.0	x-ray diffraction	2.6	13.0	2BUJ	O75716
A	1.0	1084.0	solution nmr	-1.0	1017.0	2D7L	O75717
A	1.0	308.0	x-ray diffraction	2.26	14.0	4P5X	O75746
A	1.0	1307.0	x-ray diffraction	1.25	1204.0	2WWE	O75747
A	1.0	83.0	solution nmr	-1.0	1.0	2KZ3	O75771
A	1.0	344.0	x-ray diffraction	2.15	333.0	3LBS	O75787
A	1.0	299.0	x-ray diffraction	4.06	1.0	3P56	O75792
A	1.0	440.0	solution nmr	-1.0	384.0	2DAN	O75800
B	1.0	568.0	x-ray diffraction	2.29	553.0	4XPN	O75807
A	1.0	818.0	x-ray diffraction	2.4	511.0	3T6A	O75815
A	1.0	320.0	solution nmr	-1.0	153.0	2CQ0	O75821
A	1.0	216.0	x-ray diffraction	1.85	45.0	3BPJ	O75822
A	1.0	277.0	x-ray diffraction	1.9	6.0	2HRB	O75828
A	1.0	226.0	x-ray diffraction	2.5	1.0	4NIK	O75832
A	1.0	785.0	x-ray diffraction	1.7	662.0	3ZHF	O75843
A	1.0	472.0	x-ray diffraction	3.4	2.0	4AW6	O75844
B	1.0	173.0	x-ray diffraction	2.2	2.0	2C0J	O75865
A	1.0	414.0	x-ray diffraction	2.87	1.0	4L04	O75874
A	1.0	301.0	solution nmr	-1.0	132.0	2GQK	O75880
A	1.0	186.0	x-ray diffraction	1.72	3.0	2QS9	O75884
B	1.0	269.0	solution nmr	-1.0	1.0	2L0T	O75886
A	1.0	411.0	x-ray diffraction	1.7	1.0	2BW0	O75891
A	1.0	302.0	x-ray diffraction	2.0	14.0	2AD1	O75897
B	1.0	817.0	x-ray diffraction	1.9	49.0	4MS4	O75899
A	1.0	267.0	x-ray diffraction	1.5	14.0	2I53	O75909
A	1.0	1069.0	x-ray diffraction	1.76	1.0	4IQH	O75923
A	1.0	67.0	solution nmr	-1.0	1.0	1V66	O75925
B	1.0	479.0	solution nmr	-1.0	147.0	2ASQ	O75928
A	1.0	385.0	x-ray diffraction	1.78	1.0	3O2G	O75936
A	1.0	128.0	solution nmr	-1.0	65.0	4A4H	O75940
A	1.0	126.0	solution nmr	-1.0	61.0	2M1L	O75956
B	1.0	1594.0	x-ray diffraction	2.0	1290.0	2NZ8	O75962
A	1.0	2070.0	x-ray diffraction	2.7	119.0	2O2T	O75970
A	1.0	334.0	x-ray diffraction	1.9	1.0	2YAN	O76003
A	1.0	302.0	x-ray diffraction	2.0	9.0	4BGQ	O76039
A	1.0	1013.0	x-ray diffraction	1.2	958.0	4F14	O76041
A	1.0	398.0	x-ray diffraction	1.6	1.0	4OMJ	O76054
A	1.0	485.0	x-ray diffraction	1.9	8.0	4AYC	O76064
A	1.0	335.0	x-ray diffraction	1.7	4.0	3FM0	O76071
A	1.0	862.0	x-ray diffraction	1.37	98.0	1XOZ	O76074
A	1.0	80.0	solution nmr	-1.0	1.0	1IBX	O76075
A	1.0	566.0	x-ray diffraction	2.72	241.0	3JSI	O76083
A	1.0	179.0	x-ray diffraction	2.7	50.0	4CJM	O76093
A	1.0	104.0	solution nmr	-1.0	47.0	2KJX	O76095
A	1.0	145.0	x-ray diffraction	2.1	25.0	2CH9	O76096
A	1.0	282.0	x-ray diffraction	2.49	2.0	3P8E	O94760
A	1.0	620.0	x-ray diffraction	1.9	523.0	4BK0	O94762
A	1.0	335.0	x-ray diffraction	2.3	76.0	1FGG	O94766
A	1.0	304.0	x-ray diffraction	2.29	25.0	3LM5	O94768
A	1.0	971.0	x-ray diffraction	1.8	874.0	4N68	O94779
A	1.0	317.0	x-ray diffraction	2.65	18.0	4USE	O94804
A	1.0	532.0	solution nmr	-1.0	417.0	2D9Z	O94806
B	1.0	907.0	x-ray diffraction	1.7	271.0	2V9T	O94813
M	1.0	140.0	x-ray diffraction	2.19	53.0	4NAW	O94817
B	1.0	954.0	x-ray diffraction	2.8	17.0	2X19	O94829
A	1.0	629.0	solution nmr	-1.0	516.0	2E9K	O94851
B	1.0	1032.0	x-ray diffraction	2.7	266.0	3EFO	O94855
A	1.0	426.0	x-ray diffraction	2.6	37.0	3P3Y	O94856
A	1.0	628.0	solution nmr	-1.0	466.0	2DL7	O94868
A	1.0	1021.0	x-ray diffraction	1.33	966.0	4IGZ	O94875
A	1.0	614.0	solution nmr	-1.0	555.0	2EBP	O94885
A	1.0	487.0	solution nmr	-1.0	6.0	2DAL	O94888
X	1.0	266.0	x-ray diffraction	3.1	38.0	3S8V	O94907
D	1.0	562.0	x-ray diffraction	2.86	282.0	1IMH	O94916
A	1.0	560.0	x-ray diffraction	2.4	135.0	3CZD	O94925
A	1.0	683.0	solution nmr	-1.0	141.0	2DJ7	O94929
A	1.0	337.0	x-ray diffraction	1.87	9.0	4LXL	O94953
A	1.0	573.0	solution nmr	-1.0	374.0	1WH0	O94966
A	1.0	84.0	x-ray diffraction	2.29	2.0	3LRQ	O94972
C	1.0	848.0	x-ray diffraction	2.36	837.0	3WXA	O94979
C	1.0	47.0	x-ray diffraction	2.76	15.0	4N7V	O94986
A	1.0	359.0	x-ray diffraction	2.1	255.0	3S9G	O94992
A	1.0	372.0	x-ray diffraction	1.54	79.0	3P0F	O95045
A	1.0	772.0	x-ray diffraction	2.8	476.0	3KFV	O95049
A	1.0	261.0	x-ray diffraction	1.7	5.0	2A14	O95050
A	1.0	176.0	x-ray diffraction	1.9	3.0	2GF0	O95057
A	1.0	315.0	x-ray diffraction	2.6	53.0	4TWK	O95069
B	1.0	2792.0	x-ray diffraction	1.85	180.0	2QHO	O95071
A	1.0	360.0	x-ray diffraction	2.4	1.0	1XK5	O95149
A	1.0	251.0	x-ray diffraction	2.3	88.0	2RJK	O95150
A	1.0	331.0	x-ray diffraction	3.0	9.0	2CLP	O95154
A	1.0	1302.0	solution nmr	-1.0	1208.0	2KRE	O95155
A	1.0	1331.0	x-ray diffraction	3.02	720.0	5CQR	O95163
A	1.0	117.0	solution nmr	-1.0	2.0	2GOW	O95164
A	1.0	117.0	x-ray diffraction	1.3	1.0	3D32	O95166
A	1.0	595.0	x-ray diffraction	1.56	310.0	4CHB	O95198
A	1.0	95.0	solution nmr	-1.0	1.0	2K1P	O95218
C	1.0	334.0	x-ray diffraction	2.0	131.0	1YO5	O95238
A	1.0	579.0	x-ray diffraction	2.7	80.0	3IHO	O95243
C	1.0	356.0	x-ray diffraction	3.1	30.0	3WO4	O95256
A	1.0	159.0	x-ray diffraction	2.4	11.0	2WAL	O95257
A	1.0	793.0	x-ray diffraction	3.0	53.0	4L9M	O95267
A	1.0	1316.0	x-ray diffraction	3.37	1104.0	4UW1	O95271
A	1.0	360.0	x-ray diffraction	2.5	14.0	3AY5	O95273
C	1.0	331.0	x-ray diffraction	2.4	1.0	4RKK	O95278
A	1.0	125.0	x-ray diffraction	2.5	1.0	3IKK	O95292
B	1.0	508.0	x-ray diffraction	3.0	36.0	4LJM	O95319
A	1.0	218.0	x-ray diffraction	2.5	21.0	2AX4	O95340
A	1.0	706.0	x-ray diffraction	1.89	476.0	4U4P	O95347
A	1.0	451.0	x-ray diffraction	2.6	47.0	3HFV	O95363
A	1.0	129.0	x-ray diffraction	2.1	7.0	2NN2	O95365
A	1.0	460.0	x-ray diffraction	1.25	335.0	3I2V	O95396
B	1.0	341.0	x-ray diffraction	2.35	280.0	1SYX	O95400
B	1.0	1424.0	x-ray diffraction	2.74	771.0	1MK2	O95405
C	1.0	195.0	x-ray diffraction	2.78	32.0	4KGG	O95407
S	1.0	2214.0	solution nmr	-1.0	2149.0	2K6M	O95425
A	1.0	457.0	solution nmr	-1.0	376.0	1M62	O95429
A	1.0	335.0	solution nmr	-1.0	204.0	1X53	O95433
A	1.0	188.0	x-ray diffraction	1.7	22.0	2YG2	O95445
A	1.0	514.0	x-ray diffraction	2.1	1.0	3CTR	O95453
A	1.0	422.0	x-ray diffraction	3.8	31.0	4YDH	O95466
A	1.0	553.0	x-ray diffraction	2.4	110.0	4Q6R	O95470
A	1.0	1298.0	x-ray diffraction	1.8	548.0	3EH1	O95487
A	1.0	483.0	x-ray diffraction	2.25	22.0	4CYF	O95497
A	1.0	63.0	x-ray diffraction	2.0	8.0	3I90	O95503
A	1.0	426.0	x-ray diffraction	2.7	69.0	3PFN	O95544
A	1.0	370.0	x-ray diffraction	2.4	69.0	4RFQ	O95568
A	1.0	253.0	x-ray diffraction	2.61	21.0	4CHL	O95571
A	1.0	78.0	solution nmr	-1.0	1.0	1E4U	O95628
A	1.0	424.0	x-ray diffraction	1.67	2.0	3RZV	O95630
A	1.0	453.0	x-ray diffraction	3.1	39.0	4URT	O95631
C	1.0	244.0	x-ray diffraction	2.48	32.0	3B4V	O95633
A	1.0	126.0	solution nmr	-1.0	61.0	2D9N	O95639
A	1.0	591.0	solution nmr	-1.0	414.0	1A66	O95644
A	1.0	213.0	x-ray diffraction	2.0	10.0	2P5X	O95671
A	1.0	134.0	x-ray diffraction	1.6	58.0	2D68	O95684
A	1.0	1178.0	x-ray diffraction	1.58	208.0	5AME	O95696
A	1.0	424.0	x-ray diffraction	3.1	30.0	2DYQ	O95704
C	1.0	162.0	x-ray diffraction	2.8	26.0	3B2D	O95711
A	1.0	4318.0	x-ray diffraction	1.8	422.0	3KCI	O95714
A	1.0	111.0	solution nmr	-1.0	35.0	2HDL	O95715
A	1.0	189.0	x-ray diffraction	1.53	20.0	2GF9	O95716
A	1.0	186.0	solution nmr	-1.0	97.0	1LO1	O95718
C	1.0	258.0	x-ray diffraction	1.4	39.0	4WY4	O95721
A	1.0	117.0	x-ray diffraction	2.3	18.0	3RBG	O95727
A	1.0	527.0	x-ray diffraction	2.15	6.0	2VWI	O95747
A	1.0	296.0	x-ray diffraction	2.7	6.0	2Q80	O95749
A	1.0	176.0	x-ray diffraction	1.8	40.0	2P23	O95750
A	1.0	270.0	x-ray diffraction	3.27	111.0	4KC3	O95760
A	1.0	925.0	x-ray diffraction	2.9	1.0	3TMI	O95786
A	1.0	557.0	x-ray diffraction	1.7	448.0	4DKK	O95793
A	1.0	311.0	x-ray diffraction	2.27	10.0	4OBP	O95819
A	1.0	493.0	x-ray diffraction	3.29	39.0	4F0X	O95822
A	1.0	612.0	x-ray diffraction	1.88	125.0	4LII	O95831
A	1.0	230.0	x-ray diffraction	1.95	4.0	3KJY	O95833
A	1.0	112.0	x-ray diffraction	2.15	1.0	4CGB	O95834
F	1.0	698.0	x-ray diffraction	2.32	69.0	4ZRK	O95835
A	1.0	186.0	x-ray diffraction	3.0	22.0	2GGZ	O95843
A	1.0	220.0	x-ray diffraction	2.7	39.0	3Q91	O95848
A	1.0	308.0	x-ray diffraction	1.8	6.0	2WEF	O95861
B	1.0	264.0	x-ray diffraction	2.6	2.0	3W5K	O95863
A	1.0	172.0	solution nmr	-1.0	24.0	2K8V	O95881
A	1.0	248.0	solution nmr	-1.0	7.0	2L1B	O95931
A	1.0	130.0	x-ray diffraction	2.2	23.0	1HKF	O95944
A	1.0	123.0	solution nmr	-1.0	54.0	2KL7	O95967
A	1.0	118.0	solution nmr	-1.0	105.0	2DCO	O95977
A	1.0	70.0	solution nmr	-1.0	1.0	2MB7	O95983
A	1.0	142.0	x-ray diffraction	1.25	8.0	2FVV	O95989
A	1.0	175.0	solution nmr	-1.0	41.0	2LNS	O95994
A	1.0	115.0	solution nmr	-1.0	10.0	2MB9	O95999
A	1.0	82.0	solution nmr	-1.0	23.0	2CT5	O96006
A	1.0	172.0	x-ray diffraction	2.78	38.0	4AP8	O96007
A	1.0	591.0	x-ray diffraction	2.48	39.0	4O0X	O96013
A	1.0	558.0	x-ray diffraction	2.5	69.0	2WTI	O96017
A	1.0	569.0	solution nmr	-1.0	390.0	2YT7	O96018
A	1.0	108.0	solution nmr	-1.0	1.0	2I96	P00167
A	1.0	375.0	x-ray diffraction	1.6	2.0	1U3U	P00325
A	1.0	375.0	x-ray diffraction	1.45	2.0	1U3W	P00326
H	1.0	361.0	x-ray diffraction	2.9	31.0	4L4S	P00338
A	1.0	501.0	x-ray diffraction	2.07	8.0	4WB9	P00352
A	1.0	558.0	x-ray diffraction	2.7	63.0	1L1F	P00367
A	1.0	187.0	x-ray diffraction	1.8	2.0	1MVT	P00374
A	1.0	334.0	x-ray diffraction	1.75	64.0	1UMK	P00387
A	1.0	522.0	x-ray diffraction	2.8	61.0	4GRT	P00390
A	1.0	452.0	x-ray diffraction	2.15	117.0	6PAH	P00439
A	1.0	154.0	x-ray diffraction	1.9	2.0	3ECV	P00441
A	1.0	1060.0	x-ray diffraction	4.69	20.0	4EJX	P00450
M	1.0	2351.0	x-ray diffraction	2.47	20.0	4KI5	P00451
A	1.0	354.0	x-ray diffraction	2.4	34.0	1EP9	P00480
A	1.0	731.0	x-ray diffraction	2.1	3.0	1GGU	P00488
A	1.0	289.0	x-ray diffraction	2.2	1.0	1RSZ	P00491
A	1.0	218.0	x-ray diffraction	2.05	2.0	4RAC	P00492
A	1.0	1149.0	x-ray diffraction	1.85	65.0	3PYY	P00519
A	1.0	1076.0	x-ray diffraction	3.0	25.0	4R5S	P00533
A	1.0	417.0	x-ray diffraction	1.74	2.0	2XE6	P00558
A	1.0	193.0	x-ray diffraction	1.71	1.0	2C95	P00568
A	1.0	142.0	x-ray diffraction	1.7	19.0	1HML	P00709
L	1.0	622.0	x-ray diffraction	1.75	44.0	2ZG0	P00734
A	1.0	651.0	solution nmr	-1.0	139.0	1APQ	P00736
C	1.0	406.0	x-ray diffraction	3.1	92.0	4WJG	P00738
D	1.0	461.0	x-ray diffraction	1.95	47.0	4WN2	P00740
A	1.0	475.0	x-ray diffraction	2.6	43.0	1IQG	P00742
A	1.0	253.0	x-ray diffraction	2.0	26.0	1DSU	P00746
A	1.0	810.0	x-ray diffraction	2.06	20.0	1CEA	P00747
A	1.0	615.0	x-ray diffraction	1.62	133.0	4BDX	P00748
A	1.0	427.0	x-ray diffraction	2.8	26.0	1OWK	P00749
E	1.0	562.0	x-ray diffraction	3.16	36.0	5BRR	P00750
A	1.0	764.0	x-ray diffraction	2.3	34.0	2OK5	P00751
A	1.0	406.0	x-ray diffraction	2.81	29.0	3VYD	P00797
A	1.0	363.0	x-ray diffraction	1.52	5.0	3IAR	P00813
A	1.0	261.0	x-ray diffraction	1.9	2.0	3LXE	P00915
A	1.0	260.0	x-ray diffraction	1.45	1.0	2WEJ	P00918
A	1.0	407.0	x-ray diffraction	2.4	4.0	2NZ2	P00966
A	1.0	346.0	x-ray diffraction	2.7	3.0	4IG8	P00973
I	1.0	79.0	x-ray diffraction	2.3	24.0	1CGJ	P00995
I	1.0	464.0	x-ray diffraction	3.3	33.0	2GD4	P01008
A	1.0	418.0	x-ray diffraction	2.6	43.0	1EZX	P01009
A	1.0	423.0	x-ray diffraction	2.27	47.0	1QMN	P01011
P	1.0	482.0	x-ray diffraction	1.99	34.0	4AA1	P01019
A	1.0	1474.0	solution nmr	-1.0	27.0	1BV8	P01023
C	1.0	1663.0	x-ray diffraction	4.0	23.0	2XWJ	P01024
A	1.0	1676.0	x-ray diffraction	2.4	20.0	4P39	P01031
A	1.0	204.0	solution nmr	-1.0	24.0	1D2B	P01033
A	1.0	146.0	x-ray diffraction	2.18	33.0	1R4C	P01034
A	1.0	98.0	solution nmr	-1.0	1.0	1GD3	P01040
P	1.0	510.0	x-ray diffraction	1.99	381.0	4ASQ	P01042
D	1.0	198.0	x-ray diffraction	3.1	139.0	1S9K	P01100
A	1.0	449.0	x-ray diffraction	1.8	1.0	1NKP	P01106
A	1.0	167.0	x-ray diffraction	1.65	1.0	3CON	P01111
A	1.0	171.0	x-ray diffraction	1.9	1.0	4EFL	P01112
A	1.0	188.0	x-ray diffraction	1.2	1.0	4Q03	P01116
A	1.0	185.0	x-ray diffraction	3.0	83.0	1PDG	P01127
D	1.0	832.0	x-ray diffraction	2.6	22.0	4NE9	P01130
B	1.0	1023.0	x-ray diffraction	2.8	971.0	1NQL	P01133
C	1.0	88.0	x-ray diffraction	2.5	39.0	1MOX	P01135
A	1.0	390.0	x-ray diffraction	3.0	279.0	3KFD	P01137
E	1.0	237.0	x-ray diffraction	3.4	123.0	2IFG	P01138
E	1.0	149.0	x-ray diffraction	2.4	124.0	1YK0	P01160
A	1.0	265.0	solution nmr	-1.0	261.0	1PLW	P01210
A	1.0	219.0	solution nmr	-1.0	207.0	2N2F	P01213
A	1.0	227.0	solution nmr	-1.0	29.0	1RW5	P01236
A	1.0	217.0	x-ray diffraction	2.1	27.0	1AXI	P01241
A	1.0	70.0	solution nmr	-1.0	32.0	2L1X	P01270
B	1.0	178.0	x-ray diffraction	1.8	53.0	4ZGM	P01275
A	1.0	153.0	solution nmr	-1.0	125.0	2RRI	P01282
A	1.0	52.0	solution nmr	-1.0	48.0	1TZ4	P01298
A	1.0	64.0	solution nmr	-1.0	29.0	1RON	P01303
A	1.0	1012.0	x-ray diffraction	1.8	25.0	5CO6	P01308
C	1.0	147.0	x-ray diffraction	2.28	25.0	3E4Z	P01344
A	1.0	205.0	x-ray diffraction	2.85	62.0	1TNR	P01374
A	1.0	233.0	x-ray diffraction	2.85	82.0	4TWT	P01375
A	1.0	179.0	x-ray diffraction	2.8	32.0	3UX9	P01562
A	1.0	188.0	solution nmr	-1.0	24.0	2LAG	P01563
A	1.0	187.0	x-ray diffraction	2.2	22.0	1AU1	P01574
A	1.0	161.0	x-ray diffraction	2.9	24.0	1EKU	P01579
A	1.0	271.0	x-ray diffraction	2.3	121.0	2ILA	P01583
A	1.0	269.0	x-ray diffraction	1.54	117.0	1L2H	P01584
A	1.0	193.0	x-ray diffraction	1.9	28.0	1EER	P01588
B	1.0	186.0	x-ray diffraction	2.8	22.0	1Z92	P01589
A	1.0	458.0	solution nmr	-1.0	26.0	1Q68	P01730
A	1.0	227.0	x-ray diffraction	2.6	22.0	1CD8	P01732
A	1.0	116.0	x-ray diffraction	1.96	20.0	3ZHD	P01764
B	1.0	127.0	x-ray diffraction	1.9	20.0	1XED	P01833
D	1.0	427.0	x-ray diffraction	3.4	105.0	2Y7Q	P01854
B	1.0	330.0	x-ray diffraction	3.1	1.0	1H3V	P01857
B	1.0	323.0	x-ray diffraction	2.04	115.0	4HAF	P01859
A	1.0	325.0	x-ray diffraction	2.7	1.0	4D2N	P01861
A	1.0	331.0	x-ray diffraction	3.1	123.0	1OW0	P01876
A	1.0	300.0	x-ray diffraction	1.7	25.0	3VCL	P01889
A	1.0	213.0	x-ray diffraction	3.2	26.0	1LO5	P01903
F	1.0	222.0	x-ray diffraction	3.0	32.0	2WBJ	P01911
A	1.0	142.0	x-ray diffraction	2.1	2.0	1JEB	P02008
B	1.0	147.0	x-ray diffraction	1.88	2.0	1SHR	P02042
E	1.0	146.0	x-ray diffraction	2.9	2.0	1A9W	P02100
A	1.0	150.0	x-ray diffraction	1.65	2.0	3RGK	P02144
A	1.0	977.0	solution nmr	-1.0	254.0	2LLP	P02452
A	1.0	474.0	solution nmr	-1.0	29.0	1U5M	P02458
A	1.0	1466.0	x-ray diffraction	2.3	564.0	3DMW	P02461
A	1.0	1669.0	x-ray diffraction	1.9	1442.0	1LI1	P02462
A	1.0	164.0	x-ray diffraction	2.5	64.0	2Y1Z	P02511
A	1.0	421.0	x-ray diffraction	3.0	332.0	3TNU	P02533
A	1.0	664.0	solution nmr	-1.0	313.0	1IVT	P02545
A	1.0	158.0	x-ray diffraction	2.8	1.0	3LBX	P02549
A	1.0	267.0	solution nmr	-1.0	25.0	1GW3	P02647
A	1.0	317.0	x-ray diffraction	2.0	19.0	1NFO	P02649
A	1.0	99.0	x-ray diffraction	2.0	27.0	2OU1	P02652
A	1.0	83.0	solution nmr	-1.0	27.0	1ALF	P02654
A	1.0	101.0	solution nmr	-1.0	23.0	1SOH	P02655
A	1.0	99.0	solution nmr	-1.0	21.0	2JQ3	P02656
C	1.0	866.0	x-ray diffraction	1.45	26.0	5CFA	P02671
B	1.0	491.0	x-ray diffraction	2.7	45.0	2H43	P02675
C	1.0	452.0	x-ray diffraction	2.7	28.0	2H43	P02679
C	1.0	237.0	x-ray diffraction	3.2	217.0	1HQR	P02686
A	1.0	132.0	x-ray diffraction	1.45	2.0	4D6A	P02689
A	1.0	87.0	solution nmr	-1.0	47.0	2KPE	P02724
A	1.0	887.0	solution nmr	-1.0	1.0	2BTA	P02730
A	1.0	224.0	x-ray diffraction	3.0	19.0	3PVO	P02741
B	1.0	223.0	x-ray diffraction	1.6	20.0	4AVV	P02743
A	1.0	245.0	x-ray diffraction	2.05	112.0	2JG8	P02745
B	1.0	251.0	x-ray diffraction	2.05	118.0	2JG8	P02746
C	1.0	245.0	x-ray diffraction	2.05	115.0	2JG8	P02747
A	1.0	345.0	x-ray diffraction	1.9	20.0	3OP8	P02749
A	1.0	2390.0	x-ray diffraction	1.8	48.0	2RKY	P02751
A	1.0	201.0	x-ray diffraction	1.8	19.0	2WR6	P02753
X	1.0	339.0	x-ray diffraction	2.5	27.0	4U30	P02760
A	1.0	193.0	x-ray diffraction	1.8	20.0	3KQ0	P02763
A	1.0	147.0	x-ray diffraction	2.0	21.0	2ROX	P02766
B	1.0	609.0	x-ray diffraction	2.8	25.0	3LU7	P02768
D	1.0	493.0	x-ray diffraction	2.1	36.0	1KXP	P02774
A	1.0	124.0	x-ray diffraction	1.93	44.0	1F9P	P02775
A	1.0	101.0	x-ray diffraction	2.38	36.0	1F9S	P02776
A	1.0	96.0	solution nmr	-1.0	22.0	1LV9	P02778
C	1.0	760.0	x-ray diffraction	2.8	121.0	1DE4	P02786
A	1.0	698.0	x-ray diffraction	2.1	20.0	1FQF	P02787
B	1.0	710.0	x-ray diffraction	2.15	20.0	2HD4	P02788
A	1.0	175.0	x-ray diffraction	1.85	2.0	3KXU	P02792
E	1.0	178.0	x-ray diffraction	3.06	6.0	3ERZ	P02794
A	1.0	61.0	solution nmr	-1.0	1.0	2MHU	P02795
A	1.0	595.0	x-ray diffraction	2.0	180.0	4MG9	P03372
A	1.0	147.0	x-ray diffraction	2.4	25.0	1ANG	P03950
A	1.0	625.0	x-ray diffraction	1.6	20.0	3BG8	P03951
A	1.0	629.0	x-ray diffraction	2.1	391.0	4OGY	P03952
A	1.0	466.0	x-ray diffraction	2.4	31.0	1CGL	P03956
I	1.0	132.0	x-ray diffraction	1.7	83.0	2Z7F	P03973
A	1.0	597.0	solution nmr	-1.0	49.0	2A55	P04003
B	1.0	70.0	x-ray diffraction	2.8	20.0	3BT1	P04004
A	1.0	872.0	x-ray diffraction	1.7	439.0	3CCZ	P04035
A	1.0	504.0	x-ray diffraction	2.0	4.0	1DGH	P04040
B	1.0	635.0	x-ray diffraction	2.45	54.0	4G0N	P04049
A	1.0	125.0	solution nmr	-1.0	19.0	2COE	P04053
A	1.0	148.0	x-ray diffraction	1.55	23.0	3ELO	P04054
A	1.0	536.0	x-ray diffraction	2.4	40.0	1Y7V	P04062
C	1.0	451.0	x-ray diffraction	1.6	43.0	1LQV	P04070
A	1.0	418.0	x-ray diffraction	2.1	56.0	2ALD	P04075
